year,month,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed
2008,may,1.1,93.994,-36.4,5191.0
2008,jun,1.4,94.465,-41.8,5228.1
2008,jul,1.4,93.91799999999999,-42.7,5228.1
2008,aug,1.4,93.444,-36.1,5228.1
2008,oct,-0.1,93.79799999999999,-40.4,5195.8
2008,nov,-0.1,93.2,-42.0,5195.8
2008,dec,-0.2,92.756,-45.9,5176.3
2009,mar,-1.8,92.84299999999999,-50.0,5099.1
2009,apr,-1.8,93.075,-47.1,5099.1
2009,may,-1.8,92.89299999999999,-46.2,5099.1
2009,jun,-2.9,92.963,-40.8,5076.2
2009,jul,-2.9,92.469,-33.6,5076.2
2009,aug,-2.9,92.20100000000001,-31.4,5076.2
2009,sep,-3.4,92.37899999999999,-29.8,5017.5
2009,oct,-3.4,92.431,-26.9,5017.5
2009,nov,-3.4,92.649,-30.1,5017.5
2009,dec,-3.0,92.713,-33.0,5023.5
2010,mar,-1.8,93.369,-34.8,5008.7
2010,apr,-1.8,93.749,-34.6,5008.7
2010,may,-1.8,93.876,-40.0,5008.7
2010,jun,-1.7,94.055,-39.8,4991.6
2010,jul,-1.7,94.215,-40.3,4991.6
2010,aug,-1.7,94.027,-38.3,4991.6
2010,sep,-1.1,94.199,-37.5,4963.6
2010,oct,-1.1,94.601,-49.5,4963.6
2010,nov,-1.1,94.76700000000001,-50.8,4963.6
